value,fixed,other
Europe:Spain:Navarra:Cizur Menor,Europe:Spain:Navarra:Cizur Menor,
Europe:Spain:Navarra:Zulueta,Europe:Spain:Navarra:Zulueta,
Europe:Spain:Navarra:Barasoain,Europe:Spain:Navarra:Barasoain,
Europe:Spain:La Rioja:Logrono,Europe:Spain:La Rioja:Logrono,
Europe:Spain:Navarra:Mutilva,Europe:Spain:Navarra:Mutilva,
Europe:Spain:La Rioja:Calahorra,Europe:Spain:La Rioja:Calahorra,
Europe:Spain:Navarra:Cintruenigo,Europe:Spain:Navarra:Cintruenigo,
Europe:Spain:Navarra:Noain,Europe:Spain:Navarra:Noain,
Europe:Spain:Navarra:Tafalla,Europe:Spain:Navarra:Tafalla,
Europe:Spain:Navarra:Fitero,Europe:Spain:Navarra:Fitero,
Europe:Spain:Navarra:Peralta,Europe:Spain:Navarra:Peralta,
Europe:Spain:La Rioja:Pradejon,Europe:Spain:La Rioja:Pradejon,
Europe:Spain:Navarra:Echavarri,Europe:Spain:Navarra:Echavarri,
Europe:Spain:Basque Country:Portugalete,Europe:Spain:Basque Country:Portugalete,
Europe:Spain:Navarra:Torres De Elorz,Europe:Spain:Navarra:Torres De Elorz,
Europe:Spain:Basque Country:Bermeo,Europe:Spain:Basque Country:Bermeo,
Europe:Spain:Andalusia:Rota,Europe:Spain:Andalusia:Rota,
Europe:Spain:Andalusia:Puerto Santa Maria,Europe:Spain:Andalusia:Puerto Santa Maria,
Europe:Spain:Andalusia:San Fernando,Europe:Spain:Andalusia:San Fernando,
Europe:Spain:Andalusia:Mairena Aljarafe,Europe:Spain:Andalusia:Mairena Aljarafe,
Europe:Spain:Andalusia:Chiclana de la Frontera,Europe:Spain:Andalusia:Chiclana de la Frontera,
Europe:Spain:Andalusia:San Roque,Europe:Spain:Andalusia:San Roque,
Europe:Spain:Andalusia:Algeciras,Europe:Spain:Andalusia:Algeciras,
Europe:Spain:Andalusia:La Linea de la Concepcion,Europe:Spain:Andalusia:La Linea de la Concepcion,
Europe:Spain:Andalusia:Conil de la Frontera,Europe:Spain:Andalusia:Conil de la Frontera,
Europe:Spain:Andalusia:Malaga,Europe:Spain:Andalusia:Malaga,
Europe:Spain:Andalusia:Jerez De La Frontera,Europe:Spain:Andalusia:Jerez De La Frontera,
Europe:Spain:Andalusia:Alhaurin de la Torre,Europe:Spain:Andalusia:Alhaurin de la Torre,
Europe:Spain:Comunitat Valenciana:Chilches,Europe:Spain:Comunitat Valenciana:Chilches,
Europe:Spain:Andalusia:Rincon de la Victoria,Europe:Spain:Andalusia:Rincon de la Victoria,
Europe:Spain:Andalusia:Almeria,Europe:Spain:Andalusia:Almeria,
Europe:Spain:Andalusia:Torremolinos,Europe:Spain:Andalusia:Torremolinos,
Europe:Spain:Andalusia:Benajarafe,Europe:Spain:Andalusia:Benajarafe,
Europe:Spain:Andalusia:Velez_Malaga,Europe:Spain:Andalusia:Velez_Malaga,
Europe:Spain:Andalusia:Antequera,Europe:Spain:Andalusia:Antequera,
Europe:Spain:Canary Islands:,Europe:Spain:Canary Islands:-,
Europe:Spain:Comunitat Valenciana:Segorbe,Europe:Spain:Comunitat Valenciana:Segorbe,
Europe:Spain:Comunitat Valenciana:Gilet,Europe:Spain:Comunitat Valenciana:Gilet,
Europe:Spain:Castilla La Mancha:,Europe:Spain:Castilla La Mancha:-,
Europe:Spain:Castilla y Leon:,Europe:Spain:Castilla y Leon:-,
Europe:Spain:Galicia:,Europe:Spain:Galicia:-,
Europe:Spain:La Rioja:,Europe:Spain:La Rioja:-,
Europe:Spain:Madrid:,Europe:Spain:Madrid:-,
Europe:Spain:Basque Country:,Europe:Spain:Basque Country:-,
Europe:Spain:Barcelona:,Europe:Spain:Barcelona:-,
Europe:Spain:Comunitat Valenciana:Valencia,Europe:Spain:Comunitat Valenciana:Valencia,
South America:Argentina:Rio Negro:San Carlos de Bariloche,South America:Argentina:Rio Negro:San Carlos de Bariloche,
Europe:Spain:Comunitat Valenciana:Canet d'en Berenguer,Europe:Spain:Comunitat Valenciana:Canet d'en Berenguer,
Europe:Spain:Comunitat Valenciana:Sagunt,Europe:Spain:Comunitat Valenciana:Sagunt,
Europe:Spain:Comunitat Valenciana:Gandia,Europe:Spain:Comunitat Valenciana:Gandia,
Europe:Spain:Comunitat Valenciana:Alboraya,Europe:Spain:Comunitat Valenciana:Alboraya,
Europe:Spain:Comunitat Valenciana:Albuixech,Europe:Spain:Comunitat Valenciana:Albuixech,
Europe:Spain:Comunitat Valenciana:El Puig,Europe:Spain:Comunitat Valenciana:El Puig,
Europe:Spain:Comunitat Valenciana:Benirredra,Europe:Spain:Comunitat Valenciana:Benirredra,
Europe:Spain:Comunitat Valenciana:Oliva,Europe:Spain:Comunitat Valenciana:Oliva,
Europe:Spain:Comunitat Valenciana:Llutxent,Europe:Spain:Comunitat Valenciana:Llutxent,
Europe:Spain:Comunitat Valenciana:Grau de Sagunt,Europe:Spain:Comunitat Valenciana:Grau de Sagunt,
Europe:Spain:Comunitat Valenciana:Tavernes de la Valldigna,Europe:Spain:Comunitat Valenciana:Tavernes de la Valldigna,
Europe:Spain:Comunitat Valenciana:Olleria,Europe:Spain:Comunitat Valenciana:Olleria,
Europe:Spain:Comunitat Valenciana:Puzol,Europe:Spain:Comunitat Valenciana:Puzol,
Europe:Spain:Comunitat Valenciana:Meliana,Europe:Spain:Comunitat Valenciana:Meliana,
Europe:Spain:Comunitat Valenciana:Valencia Horta,Europe:Spain:Comunitat Valenciana:Valencia Horta,
Europe:Spain:Comunitat Valenciana:Beniganim,Europe:Spain:Comunitat Valenciana:Beniganim,
Europe:Spain:Comunitat Valenciana:Palma de Gandia,Europe:Spain:Comunitat Valenciana:Palma de Gandia,
Europe:Spain:Comunitat Valenciana:Bonrepos i Mirambell,Europe:Spain:Comunitat Valenciana:Bonrepos i Mirambell,
Europe:Spain:Comunitat Valenciana:Miramar,Europe:Spain:Comunitat Valenciana:Miramar,
Europe:Spain:Comunitat Valenciana:Xeraco,Europe:Spain:Comunitat Valenciana:Xeraco,
Asia:Sri Lanka:Sri Lanka:,Asia:Sri Lanka:-:-,
Europe:Sweden:SmÃ¥land:JÃ¶nkÃ¶ping,Europe:Sweden:Smaland:Jonkoping,
Europe:Sweden:Stockholm:,Europe:Sweden:Stockholm:-,
Europe:Sweden:Vastra Gotaland:,Europe:Sweden:Vastra Gotaland:-,
Europe:Sweden:Uppsala:,Europe:Sweden:Uppsala:-,
Europe:Sweden:Dalarna:,Europe:Sweden:Dalarna:-,
Europe:Sweden:Skane:,Europe:Sweden:Skane:-,
Europe:Sweden:Halland:,Europe:Sweden:Halland:-,
Europe:Sweden:Jamtland:,Europe:Sweden:Jamtland:-,
Europe:Sweden:Vasterbotten:,Europe:Sweden:Vasterbotten:-,
Europe:Sweden:Vastmanland:,Europe:Sweden:Vastmanland:-,
Europe:Sweden:Kalmar:,Europe:Sweden:Kalmar:-,
Europe:Sweden:Ostergotland:,Europe:Sweden:Ostergotland:-,
Europe:Sweden:Jonkoping:,Europe:Sweden:Jonkoping:-,
Europe:Sweden:Norrbotten:,Europe:Sweden:Norrbotten:-,
Europe:Sweden:Sormland:,Europe:Sweden:Sormland:-,
Europe:Sweden:Gavleborgs lan:,Europe:Sweden:Gavleborgs lan:-,
Europe:Sweden:Vasternorrland:,Europe:Sweden:Vasternorrland:-,
Europe:Sweden:Varmland:,Europe:Sweden:Varmland:-,
Europe:Sweden:Orebro lan:,Europe:Sweden:Orebro lan:-,
Europe:Switzerland:ZÃ¼rich:,Europe:Switzerland:Zurich:-,
Europe:Switzerland:Ticino:,Europe:Switzerland:Ticino:-,
Europe:Switzerland:Vaud:,Europe:Switzerland:Vaud:-,
Europe:Switzerland:Basel-Land:,Europe:Switzerland:Basel-Land:-,
Europe:Switzerland:Aargau:,Europe:Switzerland:Aargau:-,
Europe:Switzerland:Basel-Stadt:,Europe:Switzerland:Basel-Stadt:-,
Europe:Switzerland:GraubÃ¼nden:,Europe:Switzerland:Graubunden:-,
Europe:Switzerland:Valais:,Europe:Switzerland:Valais:-,
Europe:Switzerland:Jura:,Europe:Switzerland:Jura:-,
Europe:Switzerland:Bern:,Europe:Switzerland:Bern:-,
Europe:Switzerland:Schwyz:,Europe:Switzerland:Schwyz:-,
Europe:Switzerland:Thurgau:,Europe:Switzerland:Thurgau:-,
Europe:Switzerland:Sankt Gallen:,Europe:Switzerland:Sankt Gallen:-,
Europe:Switzerland:Uri:,Europe:Switzerland:Uri:-,
Europe:Switzerland:Schaffhausen:,Europe:Switzerland:Schaffhausen:-,
Europe:Switzerland:Geneva:,Europe:Switzerland:Geneva:-,
Europe:Switzerland:Lucerne:,Europe:Switzerland:Lucerne:-,
Europe:Switzerland:Glarus:,Europe:Switzerland:Glarus:-,
Europe:Switzerland:Fribourg:,Europe:Switzerland:Fribourg:-,
Asia:Taiwan:Taiwan:,Asia:Taiwan:-:-,
Asia:Taiwan:Taiwan:Taipei,Asia:Taiwan:Taiwan:Taipei,
Asia:Taiwan:Taiwan:Kaohsiung,Asia:Taiwan:Taiwan:Kaohsiung,
Asia:Taiwan:Taiwan:Taoyuan,Asia:Taiwan:Taiwan:Taoyuan,
Asia:Taiwan:Taoyuan:,Asia:Taiwan:Taoyuan:-,
Asia:Taiwan:New Taipei city:,Asia:Taiwan:New Taipei city:-,
Asia:Taiwan:New Taipei City:,Asia:Taiwan:New Taipei City:-,
Asia:Taiwan:Keelung:,Asia:Taiwan:Keelung:-,
Asia:Thailand:Nonthaburi:Bangkok,Asia:Thailand:Nonthaburi:Bangkok,
Asia:Thailand:Bangkok:,Asia:Thailand:Bangkok:-,
Asia:Thailand:Nonthaburi:,Asia:Thailand:Nonthaburi:-,
Asia:Thailand:Samut Prakarn:,Asia:Thailand:Samut Prakarn:-,
Asia:Thailand:Pathum Thani:,Asia:Thailand:Pathum Thani:-,
Asia:Thailand:Thailand:,Asia:Thailand:-:-,
Asia:Thailand:Phuket:,Asia:Thailand:Phuket:-,
Asia:China:Hubei:Tianmen,Asia:China:Hubei:Tianmen,
Europe:Turkey:Turkey:,Europe:Turkey:-:-,
Europe:Turkey:Kayseri:,Europe:Turkey:Kayseri:-,
Europe:Turkey:Istanbul:,Europe:Turkey:Istanbul:-,
Europe:Turkey:Denizli:,Europe:Turkey:Denizli:-,
Europe:Turkey:Ankara:,Europe:Turkey:Ankara:-,
Europe:Turkey:Kocaeli:,Europe:Turkey:Kocaeli:-,
Europe:Turkey:Tokat:,Europe:Turkey:Tokat:-,
Europe:Turkey:Agri:,Europe:Turkey:Agri:-,
Europe:Turkey:Afyon:,Europe:Turkey:Afyon:-,
Europe:Turkey:Mardin:,Europe:Turkey:Mardin:-,
Europe:Turkey:Balikesir:,Europe:Turkey:Balikesir:-,
Europe:Turkey:Eskisehir:,Europe:Turkey:Eskisehir:-,
Europe:Turkey:Konya:,Europe:Turkey:Konya:-,
Europe:Turkey:Karaman:,Europe:Turkey:Karaman:-,
Europe:Turkey:Kastamonu:,Europe:Turkey:Kastamonu:-,
Europe:Turkey:Nevsehir:,Europe:Turkey:Nevsehir:-,
Europe:Turkey:Tekirdag:,Europe:Turkey:Tekirdag:-,
Europe:Turkey:Siirt:,Europe:Turkey:Siirt:-,
Europe:Turkey:Aksaray:,Europe:Turkey:Aksaray:-,
Europe:Turkey:Sakarya:,Europe:Turkey:Sakarya:-,
Europe:Turkey:Canakkale:,Europe:Turkey:Canakkale:-,
Europe:Turkey:AdÄ±yaman:,Europe:Turkey:Adiyaman:-,
North America:USA:Alaska:Interior Alaska,North America:USA:Alaska:Interior Alaska,
North America:USA:Alaska:Anchorage,North America:USA:Alaska:Anchorage,
North America:USA:Alaska:Southeast Alaska,North America:USA:Alaska:Southeast Alaska,
North America:USA:Alaska:Fairbanks,North America:USA:Alaska:Fairbanks,
North America:USA:Alaska:Mat-Su,North America:USA:Alaska:Mat-Su,
North America:USA:Alabama:,North America:USA:Alabama:-,
North America:USA:Arkansas:,North America:USA:Arkansas:-,
North America:USA:Arizona:,North America:USA:Arizona:-,
North America:USA:Arizona:Phoenix,North America:USA:Arizona:Phoenix,
North America:USA:California:,North America:USA:California:-,
North America:USA:California:San Francisco,North America:USA:California:San Francisco,
North America:USA:Grand Princess:Grand Princess cruise ship,North America:USA:Grand Princess:Grand Princess cruise ship,
North America:USA:California:San Mateo County,North America:USA:California:San Mateo County,
North America:USA:California:Marin County,North America:USA:California:Marin County,
North America:USA:Grand Princess:Sonoma County,North America:USA:Grand Princess:Sonoma County,
North America:USA:California:Solano County,North America:USA:California:Solano County,
North America:USA:California:San Joaquin County,North America:USA:California:San Joaquin County,
North America:USA:California:Sacramento County,North America:USA:California:Sacramento County,
North America:USA:California:Grand Princess cruise ship,North America:USA:California:Grand Princess cruise ship,
North America:USA:California:Santa Clara County,North America:USA:California:Santa Clara County,
North America:USA:California:Davis,North America:USA:California:Davis,
North America:USA:California:Alameda County,North America:USA:California:Alameda County,
Europe:Belgium:Honnelles:,Europe:Belgium:Honnelles:-,
North America:USA:California:San Luis Obispo County,North America:USA:California:San Luis Obispo County,
North America:USA:California:Humboldt County,North America:USA:California:Humboldt County,
Europe:Belgium:Schoten:,Europe:Belgium:Schoten:-,
Europe:Belgium:Kalmthout:,Europe:Belgium:Kalmthout:-,
Europe:Belgium:Wevelgem:,Europe:Belgium:Wevelgem:-,
Europe:Belgium:Alken:,Europe:Belgium:Alken:-,
Europe:Belgium:Dalhem:,Europe:Belgium:Dalhem:-,
Europe:Belgium:Nevele:,Europe:Belgium:Nevele:-,
North America:USA:California:San Diego County,North America:USA:California:San Diego County,
Europe:Belgium:Tervuren:,Europe:Belgium:Tervuren:-,
Europe:Belgium:Bonheiden:,Europe:Belgium:Bonheiden:-,
Europe:Belgium:Doornik:,Europe:Belgium:Doornik:-,
Europe:Belgium:Boutersem:,Europe:Belgium:Boutersem:-,
Europe:Belgium:Gent:,Europe:Belgium:Gent:-,
Europe:Belgium:Deinze:,Europe:Belgium:Deinze:-,
North America:USA:California:San Diego,North America:USA:California:San Diego,
Europe:Belgium:Merelbeke:,Europe:Belgium:Merelbeke:-,
Europe:Belgium:Hemiksem:,Europe:Belgium:Hemiksem:-,
Europe:Belgium:Komen:,Europe:Belgium:Komen:-,
Europe:Belgium:Lummen:,Europe:Belgium:Lummen:-,
Europe:Belgium:Bierbeek:,Europe:Belgium:Bierbeek:-,
Europe:Belgium:Herstal:,Europe:Belgium:Herstal:-,
Europe:Belgium:Tournai:Blandain,Europe:Belgium:Tournai:Blandain,
South America:Brazil:Alagoas:Maceio,South America:Brazil:Alagoas:Maceio,
North America:USA:California:San Francisco County,North America:USA:California:San Francisco County,
South America:Brazil:Amazonas State:Manaus,South America:Brazil:Amazonas State:Manaus,
North America:USA:California:Los Angeles,North America:USA:California:Los Angeles,
North America:USA:California:Orange County CA,North America:USA:California:Orange County,
South America:Brazil:Amapa:,South America:Brazil:Amapa:-,
North America:USA:Colorado:,North America:USA:Colorado:-,
North America:USA:Connecticut:,North America:USA:Connecticut:-,
South America:Brazil:Bahia:Feira de Santana,South America:Brazil:Bahia:Feira de Santana,
North America:USA:Connecticut:Fairfield County,North America:USA:Connecticut:Fairfield County,
South America:Brazil:Minas Gerais:,South America:Brazil:Minas Gerais:-,
North America:USA:Ohio:Cincinnati,North America:USA:Ohio:Cincinnati,
North America:USA:Diamond Princess:,North America:USA:Diamond Princess:-,
North America:USA:Washington DC:,North America:USA:Washington DC:-,
North America:USA:Florida:,North America:USA:Florida:-,
North America:USA:Georgia:,North America:USA:Georgia:-,
North America:USA:Hawaii:,North America:USA:Hawaii:-,
North America:USA:Iowa:,North America:USA:Iowa:-,
North America:USA:Idaho:,North America:USA:Idaho:-,
South America:Brazil:Distrito Federal:Brasilia,South America:Brazil:Distrito Federal:Brasilia,
North America:USA:Illinois:,North America:USA:Illinois:-,
North America:USA:Illinois:Chicago,North America:USA:Illinois:Chicago,
South America:Brazil:Espirito Santo:Vila Velha,South America:Brazil:Espirito Santo:Vila Velha,
South America:Brazil:Goiais:,South America:Brazil:Goiais:-,
South America:Brazil:Para:,South America:Brazil:Para:-,
South America:Brazil:Rio de Janeiro:Rio de Janeiro,South America:Brazil:Rio de Janeiro:Rio de Janeiro,
South America:Brazil:Rio de Janeiro:Niteroi,South America:Brazil:Rio de Janeiro:Niteroi,
North America:USA:Indiana:,North America:USA:Indiana:-,
North America:USA:Indiana:Indianapolis,North America:USA:Indiana:Indianapolis,
North America:USA:Kansas:,North America:USA:Kansas:-,
North America:USA:Louisiana:,North America:USA:Louisiana:-,
South America:Brazil:Rio de Janeiro:,South America:Brazil:Rio de Janeiro:-,
North America:USA:Louisiana:Caddo Parish,North America:USA:Louisiana:Caddo Parish,
North America:USA:Louisiana:East Feliciana Parish,North America:USA:Louisiana:East Feliciana Parish,
North America:USA:Louisiana:East Baton Rouge Parish,North America:USA:Louisiana:East Baton Rouge Parish,
North America:USA:Louisiana:Bienville Parish,North America:USA:Louisiana:Bienville Parish,
North America:USA:Louisiana:Webster Parish,North America:USA:Louisiana:Webster Parish,
North America:USA:Louisiana:Morehouse Parish,North America:USA:Louisiana:Morehouse Parish,
North America:USA:Louisiana:Livingston Parish,North America:USA:Louisiana:Livingston Parish,
South America:Brazil:Rio Grande do Sul:,South America:Brazil:Rio Grande do Sul:-,
North America:USA:Louisiana:Iberville Parish,North America:USA:Louisiana:Iberville Parish,
South America:Brazil:Santa Catarina:Joinville,South America:Brazil:Santa Catarina:Joinville,
North America:USA:Louisiana:Rapides Parish,North America:USA:Louisiana:Rapides Parish,
North America:USA:Louisiana:Tensas Parish,North America:USA:Louisiana:Tensas Parish,
South America:Brazil:Santa Catarina:Florianopolis,South America:Brazil:Santa Catarina:Florianopolis,
North America:USA:Louisiana:Bossier Parish,North America:USA:Louisiana:Bossier Parish,
North America:USA:Louisiana:Grant Parish,North America:USA:Louisiana:Grant Parish,
South America:Brazil:Sao Paulo:,South America:Brazil:Sao Paulo:-,
North America:USA:Louisiana:DeSoto Parish,North America:USA:Louisiana:DeSoto Parish,
North America:USA:Louisiana:New Orleans,North America:USA:Louisiana:New Orleans,
South America:Brazil:Brazil:,South America:Brazil:-:-,
South America:Brazil:Sao Paulo:Sao Paulo,South America:Brazil:Sao Paulo:Sao Paulo,
North America:USA:Massachusetts:Boston,North America:USA:Massachusetts:Boston,
North America:USA:Massachusetts:,North America:USA:Massachusetts:-,
North America:USA:Maryland:,North America:USA:Maryland:-,
Asia:Brunei:Brunei:,Asia:Brunei:-:-,
North America:USA:Michigan:,North America:USA:Michigan:-,
Asia:Cambodia:Sihanoukville:,Asia:Cambodia:Sihanoukville:-,
North America:Canada:Quebec:,North America:Canada:Quebec:-,
North America:Canada:British Columbia:,North America:Canada:British Columbia:-,
North America:USA:Minnesota:,North America:USA:Minnesota:-,
North America:USA:Missouri:,North America:USA:Missouri:-,
North America:USA:Montana:,North America:USA:Montana:-,
North America:USA:North Carolina:,North America:USA:North Carolina:-,
North America:USA:Nebraska:,North America:USA:Nebraska:-,
North America:USA:New Hampshire:,North America:USA:New Hampshire:-,
North America:USA:New Jersey:,North America:USA:New Jersey:-,
North America:USA:New Jersey:Bergen County,North America:USA:New Jersey:Bergen County,
North America:USA:New Jersey:Hudson County,North America:USA:New Jersey:Hudson County,
North America:USA:New York:,North America:USA:New York:-,
North America:USA:New Jersey:Camden County,North America:USA:New Jersey:Camden County,
North America:USA:New Jersey:Essex County,North America:USA:New Jersey:Essex County,
North America:USA:New Mexico:,North America:USA:New Mexico:-,
North America:USA:Nevada:,North America:USA:Nevada:-,
North America:USA:New York:Brooklyn,North America:USA:New York:Brooklyn,
North America:USA:New York:Nassau County,North America:USA:New York:Nassau County,
North America:USA:New York:Queens,North America:USA:New York:Queens,
North America:USA:New York:Manhattan,North America:USA:New York:Manhattan,
North America:USA:New York:Staten Island,North America:USA:New York:Staten Island,
North America:USA:New York:Bronx,North America:USA:New York:Bronx,
North America:USA:New York:Suffolk County,North America:USA:New York:Suffolk County,
North America:Canada:Manitoba:,North America:Canada:Manitoba:-,
North America:USA:New York:Rockland County,North America:USA:New York:Rockland County,
North America:USA:New York:Suffolk county,North America:USA:New York:Suffolk county,
North America:USA:New York:Nassau county,North America:USA:New York:Nassau county,
North America:Canada:New Brunswick:,North America:Canada:New Brunswick:-,
North America:USA:New York:Passaic County,North America:USA:New York:Passaic County,
North America:Canada:Newfoundland and Labrador:,North America:Canada:Newfoundland and Labrador:-,
North America:Canada:Nova Scotia:,North America:Canada:Nova Scotia:-,
North America:Canada:Ontario:,North America:Canada:Ontario:-,
North America:USA:New York:Westchester County,North America:USA:New York:Westchester County,
North America:USA:New York:New York City,North America:USA:New York:New York City,
North America:USA:New York:Saratoga County,North America:USA:New York:Saratoga County,
North America:USA:New York:Schenectady County,North America:USA:New York:Schenectady County,
North America:USA:New York:Richmond County,North America:USA:New York:Richmond County,
North America:USA:New York:Orange County NY,North America:USA:New York:Orange County,
North America:USA:New York:Dutchess County,North America:USA:New York:Dutchess County,
North America:USA:New York:Clinton County,North America:USA:New York:Clinton County,
North America:USA:New York:Onondaga County,North America:USA:New York:Onondaga County,
North America:USA:New York:Broome County,North America:USA:New York:Broome County,
North America:USA:New York:Ulster County,North America:USA:New York:Ulster County,
North America:USA:New York:Putnam County,North America:USA:New York:Putnam County,
North America:USA:New York:Jefferson County NY,North America:USA:New York:Jefferson County,
North America:USA:New York:Albany County,North America:USA:New York:Albany County,
North America:USA:New York:Montgomery County,North America:USA:New York:Montgomery County,
North America:USA:New York:Cayuga County,North America:USA:New York:Cayuga County,
North America:USA:New York:Franklin County NY,North America:USA:New York:Franklin County,
North America:USA:New York:Chenango County,North America:USA:New York:Chenango County,
North America:USA:New York:Washington County NY,North America:USA:New York:Washington County,
North America:USA:Ohio:,North America:USA:Ohio:-,
North America:USA:Ohio:Columbus OH,North America:USA:Ohio:Columbus,
North America:USA:Oregon:Columbia County,North America:USA:Oregon:Columbia County,
North America:USA:Oregon:Washington County OR,North America:USA:Oregon:Washington County,
North America:USA:Oregon:Multnomah County,North America:USA:Oregon:Multnomah County,
North America:USA:Oregon:Wasco County,North America:USA:Oregon:Wasco County,
North America:USA:Oregon:,North America:USA:Oregon:-,
North America:USA:Pennsylvania:,North America:USA:Pennsylvania:-,
North America:USA:Pennsylvania:Pittsburgh,North America:USA:Pennsylvania:Pittsburgh,
North America:Canada:Saskatchewan:,North America:Canada:Saskatchewan:-,
South America:Chile:Antofagasta:,South America:Chile:Antofagasta:-,
North America:USA:Rhode Island:,North America:USA:Rhode Island:-,
North America:USA:South Carolina:,North America:USA:South Carolina:-,
South America:Chile:Chillan:,South America:Chile:Chillan:-,
North America:USA:Texas:,North America:USA:Texas:-,
South America:Chile:Concepcion:,South America:Chile:Concepcion:-,
South America:Chile:Coyhaique:,South America:Chile:Coyhaique:-,
South America:Chile:Puerto Montt:,South America:Chile:Puerto Montt:-,
South America:Chile:Punta Arenas:,South America:Chile:Punta Arenas:-,
South America:Chile:Rancagua:,South America:Chile:Rancagua:-,
North America:USA:Texas:Houston,North America:USA:Texas:Houston,
North America:USA:USA:,North America:USA:USA:-,
South America:Chile:Santiago:,South America:Chile:Santiago:-,
North America:USA:Utah:,North America:USA:Utah:-,
North America:USA:Virginia:,North America:USA:Virginia:-,
North America:USA:Virgin Islands:,North America:USA:Virgin Islands:-,
North America:USA:Vermont:,North America:USA:Vermont:-,
North America:USA:Washington:,North America:USA:Washington:-,
North America:USA:Washington:King County,North America:USA:Washington:King County,
North America:USA:Washington:Snohomish County,North America:USA:Washington:Snohomish County,
North America:USA:Washington:Grant County,North America:USA:Washington:Grant County,
North America:USA:Washington:Whatcom County,North America:USA:Washington:Whatcom County,
North America:USA:Washington:Yakima County,North America:USA:Washington:Yakima County,
North America:USA:Washington:Pierce County,North America:USA:Washington:Pierce County,
North America:USA:Washington:Clark County,North America:USA:Washington:Clark County,
North America:USA:Washington:Thurston County,North America:USA:Washington:Thurston County,
North America:USA:Washington:Skagit County,North America:USA:Washington:Skagit County,
South America:Chile:Talca:,South America:Chile:Talca:-,
North America:USA:Washington:Asotin County,North America:USA:Washington:Asotin County,
North America:USA:Washington:Benton County,North America:USA:Washington:Benton County,
North America:USA:Washington:Franklin County WA,North America:USA:Washington:Franklin County,
North America:USA:Washington:Adams County WA,North America:USA:Washington:Adams County,
South America:Chile:Temuco:,South America:Chile:Temuco:-,
North America:USA:Washington:Mason County,North America:USA:Washington:Mason County,
South America:Chile:Valparaiso:,South America:Chile:Valparaiso:-,
North America:USA:Washington:Kittitas County,North America:USA:Washington:Kittitas County,
North America:USA:Washington:Jefferson County WA,North America:USA:Washington:Jefferson County,
Asia:China:Hubei:Wuhan,Asia:China:Hubei:Wuhan,
Asia:China:Chongqing:,Asia:China:Chongqing:-,
Asia:China:Chongqing:Yongchuan,Asia:China:Chongqing:Yongchuan,
Asia:China:Chongqing:Zhongxian,Asia:China:Chongqing:Zhongxian,
South America:Colombia:Antioquia:,South America:Colombia:Antioquia:-,
South America:Colombia:Bogota:,South America:Colombia:Bogota:-,
South America:Colombia:Colombia:,South America:Colombia:-:-,
South America:Colombia:Caldas:Anserma,South America:Colombia:Caldas:Anserma,
South America:Colombia:Valle del Cauca:Cali,South America:Colombia:Valle del Cauca:Cali,
South America:Colombia:Valle del Cauca:Palmira,South America:Colombia:Valle del Cauca:Palmira,
South America:Colombia:Boyaca:Togui,South America:Colombia:Boyaca:Togui,
North America:USA:Washington:Umatilla County,North America:USA:Washington:Umatilla County,
South America:Colombia:Cundinamarca:Soacha,South America:Colombia:Cundinamarca:Soacha,
South America:Colombia:Cundinamarca:Madrid CO,South America:Colombia:Cundinamarca:Madrid,
South America:Colombia:Cundinamarca:Zipaquira,South America:Colombia:Cundinamarca:Zipaquira,
South America:Colombia:Boyaca:Santa Sofia,South America:Colombia:Boyaca:Santa Sofia,
South America:Colombia:Narino:Ipiales,South America:Colombia:Narino:Ipiales,
South America:Colombia:Choco:Quibdo,South America:Colombia:Choco:Quibdo,
South America:Colombia:Risaralda:Pereira,South America:Colombia:Risaralda:Pereira,
South America:Colombia:Huila:Neiva,South America:Colombia:Huila:Neiva,
South America:Colombia:Cundinamarca:Funza,South America:Colombia:Cundinamarca:Funza,
South America:Colombia:Valle del Cauca:Buga,South America:Colombia:Valle del Cauca:Buga,
South America:Colombia:Tolima:Ibague,South America:Colombia:Tolima:Ibague,
South America:Colombia:Antioquia:Medellin,South America:Colombia:Antioquia:Medellin,
South America:Colombia:Antioquia:Envigado,South America:Colombia:Antioquia:Envigado,
South America:Colombia:Antioquia:Itagui,South America:Colombia:Antioquia:Itagui,
South America:Colombia:Antioquia:Sabaneta,South America:Colombia:Antioquia:Sabaneta,
South America:Colombia:Cundinamarca:Choconta,South America:Colombia:Cundinamarca:Choconta,
South America:Colombia:Valle del Cauca:Tulua,South America:Colombia:Valle del Cauca:Tulua,
South America:Colombia:Magdalena:Santa Marta,South America:Colombia:Magdalena:Santa Marta,
South America:Colombia:Valle del Cauca:Trujillo,South America:Colombia:Valle del Cauca:Trujillo,
South America:Colombia:Valle del Cauca:Andalucia,South America:Colombia:Valle del Cauca:Andalucia,
South America:Colombia:Valle del Cauca:Jamundi,South America:Colombia:Valle del Cauca:Jamundi,
South America:Colombia:Valle del Cauca:El cerrito,South America:Colombia:Valle del Cauca:El cerrito,
South America:Colombia:Boyaca:Santana,South America:Colombia:Boyaca:Santana,
South America:Colombia:Cesar:Valledupar,South America:Colombia:Cesar:Valledupar,
South America:Colombia:Cundinamarca:Cajica,South America:Colombia:Cundinamarca:Cajica,
South America:Colombia:Norte de santander:CÃºcuta,South America:Colombia:Norte de santander:Cucuta,
